Symbol,R_Squared,Adj_R_Squared,Durbin_Watson,Coeff_Intercept,Coeff_Log_Volume,Coeff_Log_Turnover,Coeff_%Deliverable,Coeff_Volatility_Lag1
ADANIPORTS,0.9539094604880178,0.953824461798277,1.869611009296707,0.022653454391339964,0.001531048206250718,-0.001227149099732402,-0.00027375262459417417,0.007754872274312761
AXISBANK,0.9248272173561181,0.9246979434392756,1.9518470792493783,0.02240062824295228,8.862029341804683e-05,0.0002608676770724733,-8.507306061905762e-05,0.017115963631123225
BAJAJFINSV,0.9510271543477262,0.9509429362124686,1.883997633753023,0.020094281776468808,0.0009572991395508615,-0.0006540189713638179,-6.176728081657324e-05,0.007927573237908733
BAJFINANCE,0.9209707121708329,0.920834806258831,1.9304355721312723,0.02300169822563458,0.0009184943418544412,-0.0005509044990695035,1.3214902734022855e-05,0.018434518041404117
BHARTIARTL,0.9567499695153434,0.9566755928507095,1.8291622626280617,0.019994202532305553,0.001345648097736721,-0.0009634867564071016,-0.0001399872063856282,0.0060280998575007955
BPCL,0.9130723541411939,0.9129228654982725,1.9210670592938281,0.02345469280308682,0.0006854496198802857,-0.0003589338339241499,8.766259625841871e-05,0.014855150523521819
BRITANNIA,0.9277893778601702,0.9276651979424749,1.8726747744390089,0.0164215252176063,0.0008271146122839735,-0.0006371153722625534,-0.00020037152711921421,0.010634839297844475
CIPLA,0.9561699794306152,0.9560946053625681,1.761487762406427,0.015815232942587625,0.000700232933653325,-0.00036683189065836924,-0.00010782895082238494,0.005363876021806391
COALINDIA,0.9634042916285355,0.9633413583381288,1.7243420662874855,0.017565698333084204,-0.00028601902878933603,0.000532238428315263,-0.00018897263173510475,0.0060128738237144866
DRREDDY,0.953580019580781,0.9535001915834994,1.7899597685876216,0.015977160749609885,0.0005474582642001834,-0.0001200611063580854,-1.5073050268162201e-05,0.005693179751997682
EICHERMOT,0.9181304273728814,0.9179896370502209,1.91426108076542,0.021364213939758743,0.0018351442906596788,-0.0013066591122320966,-0.00026989094556300594,0.01688364549590027
GAIL,0.9081229023800164,0.9079649022121402,1.928793701294033,0.020272236228892033,0.000291803279527507,0.00017338499103056827,-3.7969509764619455e-05,0.0113183787118366
GRASIM,0.917352246349544,0.9172101177964048,1.9319845000296347,0.01852983399670192,-0.0002929478356210661,0.0006392018605862849,-0.00011323727742558977,0.016092773271058666
HCLTECH,0.9110823584304517,0.9109294476108996,1.9310454130503945,0.01883876354969113,0.0004959833275881736,-0.00015322345143742763,-0.0001394991044273925,0.013328869701175979
HDFC,0.9787659583471721,0.9787294423684054,1.826559541939527,0.01667842796078824,0.00043036227130506283,-0.0001554637918914197,-0.00011233624595726697,0.00723490342193429
HDFCBANK,0.9189201553674219,0.9187807231324562,1.912781072217317,0.015264504754110144,0.000687692014499391,-0.00039321498181872026,-0.00025269096803499144,0.018112199009210694
HINDUNILVR,0.9602938079473751,0.9602255255878692,1.7160223614287193,0.013945894064139997,0.0003728297770495572,-3.9858322568307064e-05,-0.00018113303431208682,0.006300101788492036
ICICIBANK,0.9159041106171669,0.9157594917188302,1.9613113822369739,0.021762705917671234,3.2211755110617474e-05,0.0003223828419867281,-6.702161296787758e-05,0.01600617071039718
INFY,0.9068883327758098,0.9067282095303684,1.9611403972034902,0.01909486387207558,-0.0004098599095795095,0.0010756560435326564,-0.00018224732705090946,0.016064856441152044
ITC,0.9370003163354275,0.9368919763807162,1.9161324782729676,0.015604901519695053,4.16339481602491e-05,0.0003151600647062086,-7.799096741083714e-05,0.007669244983399037
JSWSTEEL,0.9162901962812695,0.9161462413307644,1.910749311131422,0.024128454621242343,0.00031988118803768953,-0.00015180317658837494,-0.0001023263141551881,0.017847125626550473
KOTAKBANK,0.9341975214005251,0.9340843615061151,1.9249176259898562,0.017413278431029574,0.0011511375130329343,-0.0008896438899751669,-0.0002967919789019125,0.010999979497787334
LT,0.9282582329695119,0.9281348593374733,1.9255439046962508,0.01849437095024136,0.0003815424158709485,-6.998635142906647e-05,-6.098894909425681e-05,0.00938448201182346
MARUTI,0.9729446823910348,0.9728981556195663,1.762759403559216,0.01713774261351822,0.00044708097081273606,-0.00011680045458894894,-1.272807063374695e-05,0.007572732852177365
NESTLEIND,0.9677107301336281,0.9676552025844167,1.7777838891256423,0.014181045309956307,0.0011234363624325367,-0.0010049166766116406,-0.00029936110924814536,0.005341876520456678
POWERGRID,0.9647514768217786,0.9646908602728909,1.8275122701511712,0.014148735432930012,0.0005784233350233519,-0.00037346577752936117,-0.00016591897144409049,0.0046932154013913
SBIN,0.9148363854775575,0.9146899304224888,1.945547013554597,0.02203847207051427,-3.0281559204159836e-05,0.0006269265643108129,0.0002332931286086091,0.017867474642793806
SHREECEM,0.9517738251705448,0.9516908910779748,1.8865099737954503,0.0175745956081314,0.0005149724309450832,-0.0003710091512469467,-0.00012825709644296993,0.005167781284514407
TATAMOTORS,0.9315474487882264,0.9314297315892379,1.9345939651675732,0.025879228978869077,0.0004213514178990889,4.105820159021895e-05,1.4044669039320113e-05,0.016619597779994746
TCS,0.9169311135013509,0.9167882607300721,1.9335405751155241,0.016358270770531005,0.0005989284429049444,-0.0002129554151431844,-9.794237506357295e-06,0.010069691241297286
TECHM,0.9114289958923469,0.9112766811819296,1.9510205532994562,0.019321727898000657,0.00022631276336764782,9.9576661506763e-05,-0.00014274518406903568,0.014546533544483604
VEDL,0.9651676285698657,0.9650645742165221,1.8972379304369547,0.02753448366005513,0.0009457051688313914,-0.0002405280445754393,-1.3388722713018765e-05,0.010737365323348168
WIPRO,0.9183998613807746,0.9182595344012058,1.9386521535792245,0.01632743581732559,-4.879677066191697e-05,0.00038849399702867377,-0.0002673204413081665,0.010976412697174564
ZEEL,0.9782427090184517,0.9782052932128085,1.5888753147795853,0.022829903709371532,0.000737898903455252,-0.00018060582442962564,1.21686749320465e-05,0.012398005000186755
